title,genres,mood,country,language
RRR,"""Action  Drama""",excited,India,Telugu
Baahubali,"""Action  Adventure""",excited,India,Telugu
Baahubali 2,"""Action  Adventure""",excited,India,Telugu
KGF,"""Action Thriller""",angry,India,Kannada
KGF Chapter 2,"""Action Thriller""",angry,India,Kannada
Pushpa,"""Action Drama""",angry,India,Telugu
Salaar,"""Action  Thriller""",angry,India,Telugu
Jersey,Drama,sad,India,Telugu
Hi Nanna,Drama Romance,sad,India,Telugu
Geetha Govindam,"""Romance Comedy""",romantic,India,Telugu
Sita Ramam,Romance Drama,romantic,India,Telugu
3 Idiots,Comedy Drama,happy,India,Hindi
Chak De India,Drama Sports,excited,India,Hindi
Zindagi Na Milegi Dobara,"""Comedy  Adventure""",happy,India,Hindi
Yeh Jawaani Hai Deewani,"""Romance  Comedy""",happy,India,Hindi
Dilwale Dulhania Le Jayenge,Romance,romantic,India,Hindi
Kabir Singh,Drama Romance,sad,India,Hindi
Dangal,Drama Sports,excited,India,Hindi
PK,Comedy Drama,happy,India,Hindi
Lagaan,Drama Sports,excited,India,Hindi
Interstellar,"""Science  Fiction Drama""",excited,USA,English
Inception,"""Science  Fiction Thriller""",excited,USA,English
Avengers,"""Action Sci-Fi""",excited,USA,English
Avengers Endgame,Action Sci-Fi,excited,USA,English
Titanic,Romance Drama,sad,USA,English
The Notebook,Romance Drama,romantic,USA,English
The Hangover,Comedy,happy,USA,English
Forrest Gump,Drama Romance,happy,USA,English
Joker,Crime Drama,angry,USA,English
John Wick,Action Thriller,angry,USA,English
Gladiator,Action Drama,excited,USA,English
The Dark Knight,Action Crime,angry,USA,English
Coco,Animation Family,happy,USA,English
Inside Out,Animation Family,happy,USA,English
Up,Adventure Animation,happy,USA,English
Parasite,Thriller Drama,angry,South Korea,Korean
Train to Busan,Action Horror,angry,South Korea,Korean
Your Name,Romance Fantasy,romantic,Japan,Japanese
Spirited Away,Fantasy Animation,happy,Japan,Japanese
